ID,Class_CN,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,Chinese_name_as_published,Scientific_name_as_published,Reported_rank,OrderCN_COL_China_2026,OrderLA_COL_China_2026,FamilyCN_COL_China_2026,FamilyLA_COL_China_2026,GenusCN_COL_China_2026,GenusLA_COL_China_2026,Taxon_match_method,Taxon_match_note,Original_distribution,New_distribution_province,Province_basis,Discovery_sites,Longitude,Latitude,Coordinate_basis,Altitude_raw,Altitude_m,Discovery_date,Discovery_date_raw,Habitat_category,Habitat_raw,Evidence_type,Voucher,Record_type,Record_type_basis,Duplicate_group,IUCN_RED_LIST,CHINA_RED_LIST,China_Protection_Class,Endemic_to_China,Source_citation,Source_publication_year,Source_authors,Source_journal,DOI,Source_row
11,两栖纲,黑耳水蛙,Sylvirana nigrotympanica,黑耳水蛙,Hylarana nigrotympanica,种,无尾目,Anura,蛙科,Ranidae,肱腺蛙属,Sylvirana,中文名精确,,,广东,原表标注,南岭自然保护区,112.5,24.5,原文报道坐标,800-1000,900.0,,,,,照片/影像,,新纪录,原表标注,,,,,,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-81.",2000,徐剑、邹佩贞、温彩燕、陈建荣,中山大学学报(自然科学版),,21
12,两栖纲,莽山角蟾,Xenophrys mangshanensis,莽山角瘰,Xenophrys mangshanensis,种,无尾目,Anura,角蟾科,Megophryidae,异角蟾属,Xenophrys,中文名模糊,"中文名疑有出入,按名录“莽山角蟾”匹配,请复核",,广东,原表标注,南岭自然保护区,112.5,24.5,原文报道坐标,800-1000,900.0,,,,,照片/影像,,新纪录,原表标注,DUP086,,,,,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-82.",2000,徐剑、邹佩贞、温彩燕、陈建荣,中山大学学报(自然科学版),,22
13,两栖纲,小棘蛙,Quasipaa exilispinosa,小棘蛙,Quasipaa exilispinosa,种,无尾目,Anura,叉舌蛙科,Dicroglossidae,棘胸蛙属,Quasipaa,中文名精确,,,广东,原表标注,南岭自然保护区,112.5,24.5,原文报道坐标,800-1000,900.0,,,,,照片/影像,,新纪录,原表标注,DUP071,,,,,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-83.",2000,徐剑、邹佩贞、温彩燕、陈建荣,中山大学学报(自然科学版),,23
14,爬行纲,崇安斜鳞蛇,Pseudoxenodon karlschmidti,崇安斜鳞蛇,Pseudoxenodon karlschmidti,种,有鳞目,Squamata,游蛇科,Colubridae,斜鳞蛇属,Pseudoxenodon,拉丁名精确,,福建、广东、江西、湖南、贵州(指名亚种);广西、贵州(罗香亚种);海南(海南亚种),四川,原表标注,中国保护大熊猫研究中心核桃坪野化培训基地的一条小路边的黑麦草草丛里,103.2206,31.0744,原文报道坐标,1820,1820.0,2014-06-10,2014年6月10日,混合生境（溪流/河流+森林+灌丛/草地）,"黑麦草草丛里,距皮条河约30m,周围高大乔木较少,仅有几棵高约6m的银杏树,郁闭度小于20%,植被盖度大于90%,整体坡度约40°,土壤类型为山地棕壤;伴生有禾本科(白夹竹和油竹)、马齿苋科、苋科、兰科、豆科、藤黄科、卫矛科和夹竹桃科等植物组成的草本灌丛群落",照片/影像、野外观察,,新纪录,原表标注,,,,,,"马凯、王力军、杨波、李仁贵、刘定震 (2014). 卧龙自然保护区首次发现崇安斜鳞蛇 北京师范大学学报(自然科学版), 50(6), 620-621",2014,马凯、王力军、杨波、李仁贵、刘定震,北京师范大学学报(自然科学版),,27
15,两栖纲,桓仁林蛙,Rana huanrenensis,桓仁林蛙,Rana huanrenensis,种,无尾目,Anura,蛙科,Ranidae,蛙属,Rana,拉丁名精确,,辽宁省桓仁县和朝鲜半岛,吉林,原表标注,吉林省抚松县松江河镇老岭林场小溪流石下,127.7167,41.8833,原文报道坐标,961,961.0,2005-05,2005年5月,混合生境（溪流/河流+高山流石滩/石山）,小溪流石下,照片/影像,,新纪录,原表标注,,,,,,"陆宇燕、王晶琦、董丙君、李丕鹏 (2005). 吉林省两栖动物一种新纪录---桓仁林蛙 四川动物, 24(3), 259",2005,陆宇燕、王晶琦、董丙君、李丕鹏,四川动物,,34
16,爬行纲,,,紫灰锦蛇,Elaphe porphyracea,种,有鳞目,Squamata,游蛇科,Colubridae,锦蛇属,Elaphe,种未收录-按属填分类,"名录中存在种加词相同的“紫灰蛇 Oreocryptophis porphyraceus”,但原属Elaphe仍在名录、两属非已知拆分对,请人工确认",云南、西藏、陕西、四川、贵州、重庆以及河南等地,四川,原表标注,合江县天堂坝洞坪村,106.2806,28.5614,原文报道坐标,910,910.0,2003-06-15,2003年6月15日,其他/未归类,玉米地,标本,SCUM035036,新纪录,原表标注,,,,,,"郭鹏 (2005). 四川泸州地区蛇类一新记录 宜宾学院学报, 63-63",2005,郭鹏,宜宾学院学报,,38
17,爬行纲,黄脊东方蛇(黄脊游蛇),Orientocoluber spinalis,黄脊游蛇,Coluber spinalis,种,有鳞目,Squamata,游蛇科,Colubridae,东方蛇属,Orientocoluber,中文名精确,,,安徽,原表标注,安徽省宿州市符离集北的牛头山,117.28,30.41,原文报道坐标,,,1999-05-02,1999年5月2日,,,标本,,新纪录,原表标注,,,,,,"许雪峰、黄健、张珑、张猛 (2000). 安徽省蛇类一新记录———黄脊游蛇 四川动物, 19(3), 158",2000,许雪峰、黄健、张珑、张猛,四川动物,,44
18,爬行纲,中国石龙子,Plestiodon chinensis,中国石龙子,Plestiodon chinensis,种,有鳞目,Squamata,石龙子科,Scincidae,多齿石龙子属,Plestiodon,拉丁名精确,,"多分布于东洋界,在江苏和安徽均有分布",山东,原表标注,乳山市普集镇,121.83,37.09,原文报道坐标,,,2001-03,2001年3月植树节期间,,,标本,,新纪录,原表标注,DUP064,,,,,"陆宇燕,贾雅丽,刘金香,等.山东省爬行动物新记录──中国石龙子[J].四川动物,2002,(1):35-36.",2002,陆宇燕、贾雅丽、刘金香、李巫鹏,四川动物,,47
19,爬行纲,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,刘氏链蛇,Lycodon liuchengchaoi,种,有鳞目,Squamata,游蛇科,Colubridae,链蛇属,Lycodon,拉丁名精确,,四川省青川唐家河,山西,原表标注,树皮沟管护站的前庄,112.4234,35.2879,原文报道坐标,970,970.0,2018-08-08,2018年8月8日,,,标本,MHLP2018008,新纪录,原表标注,,,,,,"张建军 (2019). 山西阳城发现刘氏链蛇 动物学杂志, 54, 164-188 https://doi.org/10.13859/j.cjz.201902018",2019,张建军,动物学杂志,10.13859/j.cjz.201902018,48
20,两栖纲,峨眉髭蟾,Vibrissaphora boringii,峨眉髭蟾,Vibrissaphora boringii,种,无尾目,Anura,角蟾科,Megophryidae,髭蟾属,Vibrissaphora,拉丁名精确,,"分布于重庆酉阳县大板营以东的湖南桑植县八大公山、石门县壶瓶山,以南的贵州印江县和江口县梵净山,以西的四川峨眉市峨眉山、雅安市碧峰峡、都江堰市青城山和筠连县",重庆,原表标注,酉阳县大板营,108.9667,29.0667,原文报道坐标,,,2008-05,2008年5月,溪流/河流,小溪,标本,,新纪录,原表标注,,,,,,"李晶尧,李丕鹏,侯勉,等.峨眉髭蟾在重庆的分布——蝌蚪在无尾类分类和多样性调查中的应用一例[J].四川动物,2010,29(1):63-65+162.",2010,李晶尧、李丕鹏、侯勉、陆宇燕,四川动物,,49
21,两栖纲,小湍蛙,Amolops torrentis,小湍蛙,Amolops torrentis,种,无尾目,Anura,蛙科,Ranidae,湍蛙属,Amolops,拉丁名精确,,,广东,原表标注,云开山自然保护区东坑附近山间溪流,111.1833,22.2522,原文报道坐标,933,933.0,2009-06,2009年6月,溪流/河流,山间溪流,标本,YKS09061321、YKS09061322、YKS09061323、YKS09061324,新纪录,原表标注,,,,,,"韦启浪,何兵,胡慧建.广东省两栖动物一新纪录——小湍蛙[J].四川动物,2010,29(3):345.",2010,韦启浪、何兵、胡慧建,四川动物,,50
22,两栖纲,费氏短腿蟾,Brachytarsophrys feae,费氏短腿蟾,Brachytarsophrys feae,种,无尾目,Anura,角蟾科,Megophryidae,短腿蟾属,Brachytarsophrys,拉丁名精确,,分布于缅甸北部、泰国北部、老挝和我国云南省的陇川、腾冲、永德、景东、孟连及西双版纳,广西,原表标注,广西蜻西底定自然保护区内(,105.9702,21.114167,原文报道坐标,840,840.0,,2004/9/20,混合生境（溪流/河流+森林+人工生境）,"溪沟边的林内小路上,沟内植被繁茂,四季流水,阴暗潮湿,植被类型为沟谷热带雨林",标本,200409046,新纪录,原表标注,,,,,,"莫运明,邹异.广西三种两栖动物的新记录[C]//中国动物学会两栖爬行学分会.中国动物学会两栖爬行动物学分会2005年学术研讨会暨会员代表大会论文集.吉林人民出版社,2005:97-100.",2005,莫运明、邹异,两栖爬行动物学研究,,52
23,两栖纲,海南拟髭蟾,Leptobrachium hainanense,海南拟髭蟾,Leptobrachium hainanensis,种,无尾目,Anura,角蟾科,Megophryidae,拟髭蟾属,Leptobrachium,中文名精确,,"我国特有物种,仅分布于海南省的五指山和吊罗山",广西,原表标注,广西十万大山国家级自然保护区的上思县平龙凹林区内,107.89535,21.84155,原文报道坐标,500-530,515.0,2005-04-18,2005年4月18日至5月7日,混合生境（森林+灌丛/草地）,"次生常绿阔叶林,环境阴暗潮湿,植被繁茂,地面草丛及落叶甚多",标本,2005052,新纪录,原表标注,,,,,,"莫运明,邹异.广西三种两栖动物的新记录[C]//中国动物学会两栖爬行学分会.中国动物学会两栖爬行动物学分会2005年学术研讨会暨会员代表大会论文集.吉林人民出版社,2005:97-101.",2005,莫运明、邹异,两栖爬行动物学研究,,53
24,两栖纲,黑眼睑纤树蛙,Gracixalus gracilipes,黑眼睑小树蛙,Gracixalus gracilipes,种,无尾目,Anura,树蛙科,Rhacophoridae,纤树蛙属,Gracixalus,拉丁名精确,,分布于越南北部、泰国及我国云南省河口及广东省,广西,原表标注,广西十万大山国家级自然保护区的上思县平龙凹林区内,107.891683,21.840783,原文报道坐标,530,530.0,,2005/4/15,混合生境（森林+灌丛/草地）,"次生常绿阔叶林,环境阴暗潮湿,植被繁茂,竹子较多,地面草丛及落叶甚多",标本,2005079,新纪录,原表标注,,,,,,"莫运明,邹异.广西三种两栖动物的新记录[C]//中国动物学会两栖爬行学分会.中国动物学会两栖爬行动物学分会2005年学术研讨会暨会员代表大会论文集.吉林人民出版社,2005:97-102.",2005,莫运明、邹异,两栖爬行动物学研究,,54
25,两栖纲,昭觉林蛙,Rana chaochiaoensis,昭觉林蛙,Rana chaochiaoensis,种,无尾目,Anura,蛙科,Ranidae,蛙属,Rana,拉丁名精确,,我国云南、贵州和四川,广西,原表标注,广西猫儿山国家级自然保护区,115.58,39.84,原文报道坐标,1100~2000,1550.0,2004-10,2004年10月至今,湿地/静水水体,山区沼泽和水塘周围,照片/影像,,新纪录,原表标注,,,,,,"陆宇燕、李丕鹏、蒋得斌、张建华、罗远周、王绍能 (2006). 广西两栖动物一新纪录—昭觉林蛙 四川动物, 25(2), 267",2006,陆宇燕、李丕鹏、蒋得斌、张建华、罗远周、王绍能,四川动物,,55
26,爬行纲,锯尾蜥虎,Hemidactylus garnotii,锯尾蜥虎,Hemidactylus garnotii,种,有鳞目,Squamata,壁虎科,Gekkonidae,蜥虎属,Hemidactylus,拉丁名精确,,,广西,原表标注,北仑河口国家级自然保护区珍珠湾保护站,110.19,25.25,原文报道坐标,20,20.0,2005-08-11,2005年8月11日,人工生境,平房中,标本,1号(♀),新纪录,原表标注,,,,,,"蒋爱伍、周放、陆舟、韩小静、李相林 (2006). 广西壁虎科分布新记录———锯尾蜥虎 四川动物, 25(2), 268",2006,蒋爱伍、周放、陆舟、韩小静、李相林,四川动物,,56
27,爬行纲,疣尾蜥虎,Hemidactylus frenatus,疣尾蜥虎,Hemidactylus f renatus,种,有鳞目,Squamata,壁虎科,Gekkonidae,蜥虎属,Hemidactylus,中文名精确,,,广西,原表标注,广西北海市涠洲岛,109.083333,21.016667,原文报道坐标,40,40.0,,2003/1/4,高山流石滩/石山,岩壁,标本,,新纪录,原表标注,,,,,,"周放,余丽江,徐蕴丽.广西壁虎科分布新记录——疣尾蜥虎[J].四川动物,2003,(4):234-235.",2003,"周放,余丽江,徐蕴丽",四川动物,,57
28,爬行纲,,,方花小头蛇,Oligodon bellus,种,有鳞目,Squamata,游蛇科,Colubridae,小头蛇属,Oligodon,种未收录-按属填分类,"名录中存在种加词相同的“方花蛇 Archelaphe bella”,但原属Oligodon仍在名录、两属非已知拆分对,请人工确认",福建和云南的高山森林中,广西,原表标注,广西猫儿山国家级自然保护区,115.58,39.84,原文报道坐标,1200,1200.0,2005-09-06,2005年9月6日和10月10日,森林,亚热带常绿落叶阔叶林混交林,标本,,新纪录,原表标注,,,,,,"蒋爱伍、周放、刘宏、王绍能 (2006). 广西蛇类一新记录———方花小头蛇 四川动物, 25(2), 271",2006,蒋爱伍、周放、刘宏、王绍能,四川动物,,61
29,爬行纲,四川竹叶青蛇,Trimeresurus sichuanensis,四川华蝮,Sinovipera sichuanensis,种,有鳞目,Squamata,蝰科,Viperidae,竹叶青蛇属,Trimeresurus,核定异名,华蝮属已并入竹叶青蛇属,四川省合江县、贵州省江口县,广西,原表标注,龙胜县,109.9161,25.6345,原文报道坐标,748,748.0,2020-08-04,2020年8月4日,森林,常绿森林,标本,CIB 119086、CIB 117412,新纪录,原表标注,,,,,,"黄俊杰、吴帝豪、任金龙、李家堂、蒋珂 (2023). 广西蛇类新记录——四川华蝮及半阴茎形态描述 四川动物, 42(3), 292-293",2023,黄俊杰、吴帝豪、任金龙、李家堂、蒋珂,四川动物,,62
30,两栖纲,云南棘蛙,Gynandropaa yunnanensis,双团棘胸蛙,Paa yunnanensis,种,无尾目,Anura,叉舌蛙科,Dicroglossidae,双团棘蛙属,Gynandropaa,核定异名,"双团棘胸蛙(旧名)现为云南棘蛙,请复核",,广西,原表标注,龙滩自然保护区,106.7667,24.8,原文报道坐标,500~1200,850.0,2002,2002年7~8月、10月和2004年4~8月,溪流/河流,山涧溪流,照片/影像,,新纪录,原表标注,,,,,,"周放、余丽江、覃建欢、韦智毅、田发聪、韩小静 (2006). 广西龙滩自然保护区的两栖爬行动物 四川动物, 25(2), 298-300",2006,周放、余丽江、覃建欢、韦智毅、田发聪、韩小静,四川动物,,63
31,爬行纲,棕背树蜥,Calotes emma,棕背树蜥,Calotes emma,种,有鳞目,Squamata,鬣蜥科,Agamidae,树蜥属,Calotes,拉丁名精确,,,广西,原表标注,龙滩自然保护区,106.7667,24.8,原文报道坐标,500~1200,850.0,2002,2002年7~8月、10月和2004年4~8月,森林,森林,照片/影像,,新纪录,原表标注,,,,,,"周放、余丽江、覃建欢、韦智毅、田发聪、韩小静 (2006). 广西龙滩自然保护区的两栖爬行动物 四川动物, 25(2), 298-300",2006,周放、余丽江、覃建欢、韦智毅、田发聪、韩小静,四川动物,,64
32,爬行纲,脆蛇蜥,Dopasia harti,脆蛇蜥,Ophisaurus harti,种,有鳞目,Squamata,蛇蜥科,Anguidae,亚洲脆蛇蜥属,Dopasia,中文名精确,,"国外分布于越南北部,国内分布较广泛",四川,原表标注,"米易县草场乡、得石乡,盐边县安宁乡",101.9,26.9,文字地名地理编码/后续补充,1000,1000.0,1999,1999年5~8月,混合生境（森林+灌丛/草地）,山地泥土、草丛、庄稼地、潮湿竹林,照片/影像,,新纪录,原表标注,,,,,,"吴光举、朱洁、肖立、王本菊 (2001). 攀枝花市蜥蜴类一新记录---脆蛇蜥 四川动物, 20(3), 147-147",2001,吴光举、朱洁、肖立、王本菊,四川动物,,65
33,,,,湖蛙,,种,,,,,,,未匹配,,阿尔及利亚、埃及、巴勒斯坦、中亚细亚、伊朗、高加索、欧洲整个南北方,新疆,原表标注,新疆霍城县清水河以西约八公里处的大西沟小河及其附近沼泽,80.75,44.15,文字地名地理编码/后续补充,,,,文中未明确具体年月,混合生境（溪流/河流+湿地/静水水体）,小河及其附近沼泽,照片/影像,,新纪录,原表标注,,,,,,,,向礼咳、黄人鑫、玉,新疆大学学报,,66
34,爬行纲,崇安草蜥,Takydromus sylvaticus,崇安地蜥,Platyplacopus sylvaticus,种,有鳞目,Squamata,蜥蜴科,Lacertidae,草蜥属,Takydromus,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核",福建崇安县(今武夷山市)挂墩村、安徽岭南自然保护区,江西,原表标注,阳际峰省级自然保护区,117.1917,27.8528,原文报道坐标,191,191.0,2008-06,2008年6月,混合生境（灌丛/草地+人工生境）,"房舍墙壁上,墙壁附近生有茂密杂草",标本,JXr0072,新纪录,原表标注,,,,,,"乐新贵、洪宏志、王英永 (2009). 江西省爬行纲动物新纪录———崇安地蜥Platyplacopussylvaticus 四川动物, 28(4), 600-601",2009,乐新贵、洪宏志、王英永,四川动物,,72
35,爬行纲,平鳞钝头蛇,Pareas boulengeri,平鳞钝头蛇,Pareas boulengeri,种,有鳞目,Squamata,钝头蛇科,Pareidae,钝头蛇属,Pareas,拉丁名精确,,江苏、浙江、安徽、福建、江西、广东、广西、四川、贵州、云南、陕西(宁强)、甘肃(文县)和重庆,河南,原表标注,金岗台自然保护区,115.5333,31.7167,原文报道坐标,420,420.0,2004-05,2004年5月,森林,"亚热带常绿、落叶阔叶林,阔叶林与温带针叶林相结合",标本,,新纪录,原表标注,,,,,,"陈晓虹、朱命炜、侯名根、瞿文元 (2006). 河南游蛇科一新记录———平鳞钝头蛇 四川动物, 25(2), 269",2006,陈晓虹、朱命炜、侯名根、瞿文元,四川动物,,73
36,爬行纲,丽纹华珊瑚蛇(中华珊瑚蛇),Sinomicrurus macclellandi,丽纹蛇,Calliophis macclellandi,种,有鳞目,Squamata,眼镜蛇科,Elapidae,中华珊瑚蛇属,Sinomicrurus,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核",江苏、浙江、安徽、福建、江西、湖南、广东、广西、四川、贵州、云南、西藏、甘肃、湖北五峰县、陕西宁强县,河南,原表标注,新县连康山国家级自然保护区,114.75,31.5167,原文报道坐标,817,817.0,2009-08,2009年8月,混合生境（森林+灌丛/草地）,"水源充足、植被茂盛的林间山地,腐殖质丰厚的草丛石块间",标本,,新纪录,原表标注,,,,,,"陈晓虹、王新卫 (2010). 河南省眼镜蛇科新记录-丽纹蛇 河南师范大学学报(自然科学版), 38(4), 158-159 https://doi.org/10.16366/j.cnki.1000-2367.2010.04.018",2010,陈晓虹、王新卫,河南师范大学学报(自然科学版),10.16366/j.cnki.1000-2367.2010.04.018,74
